what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830089546
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830090265
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830090625
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830091203
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830100875
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830102437
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1239830106765
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830109703
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830115984
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1239830116031
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239830116312
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830117390
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830141578
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830148968
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830155531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830156500
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830161625
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830162015
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830165671
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1239830167031
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830168812
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830191203
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.properties,1239830191250
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1239830191703
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239830194250
